ID,Title,Description,Campus,Zone,Location,Lat,Long
ParkBusch48,Lot 48,Parking Lot 48,Busch,Stadium Area,"Sutphen Road, Across from Visitor Center",40.5150971,-74.4606288
ParkBusch54,Lot 54,Parking Lot 54,Busch,Life Sciences Area,"Taylor Road & Bevier Road, Piscataway",40.526229,-74.461605
ParkBusch51,Lot 51,Parking Lot 51,Busch,Busch Student Center Area,"Bartholemew Road, Piscataway",40.527012,-74.460876
ParkBusch67,Lot 67,Parking Lot 67/67B,Busch,Busch Student Center Area,"Bartholemew Road next to Busch Student Center, Piscataway",40.522445,-74.457571
ParkBusch60,Lot 60,Parking Lot 60A/60B,Busch,Busch Student Center Area,"Brett Road behind Busch Student Center, Piscataway",40.521564,-74.459284
ParkBusch64,Lot 64,Parking Lot 64,Busch,Busch Student Center Area,"Behind Werblin Recreation Center, Piscataway",40.521368,-74.460446
ParkBusch53A,Lot 53A,Parking Lot 53A,Busch,Life Sciences Area,"Frelinghuysen Road, Piscataway",40.520797,-74.463168
ParkBusch63,Lot 63,Parking Lot 63,Busch,Life Sciences Area,"Davidson Road East, Piscatawy",40.523749,-74.454585
ParkCADeck,College Avenue Deck,Parking Deck,College Avenue,Alexander Library Area,"George Street, New Brunswick",40.505153,-74.451348
ParkCAC30,Lot 30,Parking Lot 30,College Avenue,Student Center Area,"Sicard Street; Behind College Avenue Student Center, New Brunswick",40.503619,-74.453237
ParkCAC26,Lot 26,Parking Lot 26,College Avenue,Student Center Area,"Sicard Street; Behind College Avenue Student Center, New Brunswick",40.501889,-74.45259
Park CAC16,Lot 16,Parking Lot 16,College Avenue,Voorhees Mall Area,"George Street, New Brunswick",40.501074,-74.446324
ParkCACJJ,Johnson & Johnson Lot,Johnson & Johnson surface lot,College Avenue,Voorhees Mall Area,"Johnson Drive, New Brunswick",40.500845,-74.443878
ParkCACGateway,Gateway Parking Deck,New Brunswick parking deck (parking fee),College Avenue,College Avenue Campus,"Wall Street; corner of Easton Avenue, New Brunswick",40.496978,-74.446753
ParkCACChurch,Church Street Parking Deck,Church Street parking deck (parking fee),College Avenue,College Avenue Campus,"Church Street, New Brunswick",40.495803,-74.443298
ParkCACWell,Wellness Center Parking Deck,RWJ Wellness Center parking deck,College Avenue,College Avenue Campus,"Paterson Street, above Fresh Grocer, New Brunswick",40.495134,-74.447611
ParkCAC33,Lot 33,Parking Lot 33,College Avenue,Alexander Library Area,"Hamilton Street, New Brunswick",40.505691,-74.453268
ParkCAC34,Lot 34,Parking Lot 34,College Avenue,Alexander Library Area,"Hamilton Street, New Brunswick",40.505662,-74.45271
ParkCD70,Lot 70,Parking Lot 70,Cook/Douglass,Red Oak Lane Area,"Lipman Drive; behind Douglass Student Center, New Brunswick",40.48416,-74.437085
ParkCDDeck,Douglass Parking Deck,Douglass parking deck,Cook/Douglass,Red Oak Lane Area,"Lipman Drive; behind Douglass Student Center, New Brunswick",40.483899,-74.43643
ParkCD98A,Lot 98A,Parking lot 98A,Cook/Douglass,Farm Area,"Dudley Road; corner of College Farm Road, New Brunswick",40.478945,-74.437836
ParkCD97,Lot 97,Parking lot 97,Cook/Douglass,Farm Area,"Dudley Road; corner of College Farm Road, New Brunswick",40.478692,-74.43598
ParkCD76,Lot 76,Parking lot 76,Cook/Douglass,George H. Cook Campus,"Dudley Road; corner of Biel Road, New Brunswick",40.480545,-74.432278
ParkCDSquibb,Bristol-Myers  Squibb Lot,Bristol-Myers Squibb parking lot (connect to shuttle bus to Cook/Douglass Campus),Cook/Douglass,Farm Area,"Route 1 South @ College Farm Road, New Brunswick",40.46947,-74.435111